dataset,model,design,R,n_repeats,tau_mean,tau_sd,tau_min,wtau_mean,wtau_sd,wtau_min,rbo_mean,rbo_sd,rbo_min,j5_mean,j5_sd,j5_min
BC,MLP,model,20,50,0.6342807637733233,0.0789003283214846,0.4298850574712643,0.6701371866018622,0.10045435126339952,0.38092175842425685,0.6318591573376636,0.10659432424370256,0.4138869519927774,0.39060150375939856,0.16569466715212788,0.0
BC,MLP,perm,20,50,0.9357047791893527,0.01912700467785994,0.8804597701149426,0.9462258193039065,0.020641272291705426,0.8950098287016445,0.8970386119509952,0.056954558136583254,0.8148035201853169,0.824561403508772,0.1668753914405863,0.6666666666666666
BC,MLP,both,20,50,0.6394676346037508,0.077489164360315,0.4206896551724138,0.6867878216817435,0.09152630163066414,0.37741971359967524,0.6461716255387074,0.09832541211634685,0.4570537149669698,0.4366123642439431,0.2146413544430478,0.1111111111111111
BC,NB,model,20,50,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
BC,NB,perm,20,50,0.944400670093806,0.017777017992112655,0.8883780335440573,0.9701709014712276,0.00854749166777193,0.949912910786596,0.9703491929685347,0.01143093485148779,0.9442509965911473,0.8526315789473684,0.16598300327117468,0.6666666666666666
BC,NB,both,20,50,0.944400670093806,0.017777017992112655,0.8883780335440573,0.9701709014712276,0.00854749166777193,0.949912910786596,0.9703491929685347,0.01143093485148779,0.9442509965911473,0.8526315789473684,0.16598300327117468,0.6666666666666666
PIMA,LR,model,20,50,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
PIMA,LR,perm,20,50,0.9729323308270675,0.037723451336518644,0.8571428571428571,0.987361307341942,0.017871593539074904,0.9332957887491394,0.9960752393984963,0.005701567560627096,0.9792859857142857,0.9368421052631579,0.13097326483433375,0.6666666666666666
PIMA,LR,both,20,50,0.9729323308270675,0.037723451336518644,0.8571428571428571,0.987361307341942,0.017871593539074904,0.9332957887491394,0.9960752393984963,0.005701567560627096,0.9792859857142857,0.9368421052631579,0.13097326483433375,0.6666666666666666
PIMA,RF,model,20,50,0.92406015037594,0.06086739958403692,0.7857142857142856,0.9605715998274266,0.03367708648348894,0.870346035917652,0.9868837004511277,0.011708990319061495,0.9588114999999999,0.9350877192982457,0.13234807234279752,0.6666666666666666
PIMA,RF,perm,20,50,0.9345864661654136,0.05001150703862416,0.7857142857142856,0.9589920925836273,0.03397569326950168,0.8570802828358675,0.9843692026315789,0.013932478464309887,0.9449335,1.0,0.0,1.0
PIMA,RF,both,20,50,0.8699248120300751,0.07527722752283435,0.6428571428571428,0.9245666729240973,0.04659570845967465,0.7932544897065266,0.9736756618045113,0.016983639594825586,0.9318115,0.9105263157894737,0.14810288921596,0.6666666666666666
PIMA,XGB,model,20,50,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
PIMA,XGB,perm,20,50,0.9195488721804513,0.05272214713911833,0.7857142857142856,0.9560813992932394,0.028966026831759386,0.8916838746010887,0.9847720669924812,0.010318157538456373,0.9643414857142857,1.0,0.0,1.0
PIMA,XGB,both,20,50,0.9195488721804513,0.05272214713911833,0.7857142857142856,0.9560813992932394,0.028966026831759386,0.8916838746010887,0.9847720669924812,0.010318157538456373,0.9643414857142857,1.0,0.0,1.0
PIMA,SVM,model,20,50,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
PIMA,SVM,perm,20,50,0.9864661654135336,0.02806569960735717,0.9285714285714285,0.9910367245314334,0.018587532985687247,0.9526938239159001,0.9965468421052631,0.007160963254817215,0.981775,1.0,0.0,1.0
PIMA,SVM,both,20,50,0.9864661654135336,0.02806569960735717,0.9285714285714285,0.9910367245314334,0.018587532985687247,0.9526938239159001,0.9965468421052631,0.007160963254817215,0.981775,1.0,0.0,1.0
PIMA,MLP,model,20,50,0.7033834586466166,0.12963922972490263,0.3571428571428571,0.816108931988315,0.08293199576816711,0.5912646267442587,0.9407054204511278,0.02612864608306675,0.8609944857142857,0.8012531328320802,0.17666169277502436,0.42857142857142855
PIMA,MLP,perm,20,50,0.931203007518797,0.04949319470146139,0.8571428571428571,0.9621313467637553,0.028137207083205985,0.9201551842813339,0.9868146921052633,0.010163665062950598,0.9719334999999999,1.0,0.0,1.0
PIMA,MLP,both,20,50,0.7131578947368421,0.12106595534298432,0.3571428571428571,0.8287980134304223,0.0733243106695231,0.6395094174332019,0.9451631705263157,0.02209673190419496,0.9004645,0.7684210526315789,0.18375787622637502,0.42857142857142855
PIMA,NB,model,20,50,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
PIMA,NB,perm,20,50,0.9169172932330828,0.06102242849633807,0.7142857142857142,0.9460494205289834,0.044380289759915384,0.7856829985607909,0.9786231688721803,0.019390017231060784,0.9105664857142857,1.0,0.0,1.0
PIMA,NB,both,20,50,0.9169172932330828,0.06102242849633807,0.7142857142857142,0.9460494205289834,0.044380289759915384,0.7856829985607909,0.9786231688721803,0.019390017231060784,0.9105664857142857,1.0,0.0,1.0
HEART,LR,model,20,50,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
HEART,LR,perm,20,50,0.9459301293047667,0.023656748648167993,0.8823529411764707,0.9680754308854848,0.019310639511571803,0.8969911031020014,0.9722929219341964,0.030576811781334784,0.8610463171185625,1.0,0.0,1.0
HEART,LR,both,20,50,0.9459301293047667,0.023656748648167993,0.8823529411764707,0.9680754308854848,0.019310639511571803,0.8969911031020014,0.9722929219341964,0.030576811781334784,0.8610463171185625,1.0,0.0,1.0
HEART,RF,model,20,50,0.662951496388029,0.09377308481965571,0.35947712418300654,0.8301323036219724,0.04484245499891528,0.6597771331960047,0.9075312736025483,0.028420203759830114,0.8228535562496724,0.7631578947368423,0.15157210139557462,0.6666666666666666
HEART,RF,perm,20,50,0.8890264877880978,0.04782150032901813,0.7385620915032681,0.9474234298026296,0.02379481147703855,0.8648408306181391,0.9680662105548059,0.03022790860138186,0.8652532622277316,0.9105263157894737,0.14810288921596,0.6666666666666666
HEART,RF,both,20,50,0.6542139662882697,0.08966719993291458,0.411764705882353,0.8246311171658883,0.043018317078207226,0.6856505899630942,0.9017472805588659,0.030363388836207122,0.8193423067861456,0.7701754385964914,0.15464386533036392,0.6666666666666666
HEART,XGB,model,20,50,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
HEART,XGB,perm,20,50,0.9500350877192983,0.030728925134787165,0.8666666666666666,0.9747762450229417,0.01668225948324529,0.9167984648476272,0.9825921003722418,0.015802550595186864,0.9209292341296215,0.9666666666666666,0.10026420125303973,0.6666666666666666
HEART,XGB,both,20,50,0.9500350877192983,0.030728925134787165,0.8666666666666666,0.9747762450229417,0.01668225948324529,0.9167984648476272,0.9825921003722418,0.015802550595186864,0.9209292341296215,0.9666666666666666,0.10026420125303973,0.6666666666666666
HEART,SVM,model,20,50,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
HEART,SVM,perm,20,50,0.9064788980381275,0.03177290343067174,0.8169934640522877,0.9359815929891417,0.027925250629860825,0.8630599639087303,0.9317353534655931,0.049529464208041364,0.8281513049961327,0.8385964912280701,0.1670236592543222,0.6666666666666666
HEART,SVM,both,20,50,0.9064788980381275,0.03177290343067174,0.8169934640522877,0.9359815929891417,0.027925250629860825,0.8630599639087303,0.9317353534655931,0.049529464208041364,0.8281513049961327,0.8385964912280701,0.1670236592543222,0.6666666666666666
HEART,MLP,model,20,50,0.7342965256277949,0.06893277678782389,0.5163398692810458,0.8439486760540466,0.04568516733876606,0.7027598141335998,0.8849000672259251,0.05441389912321904,0.7684329492211459,0.8355889724310779,0.16923208910998302,0.42857142857142855
HEART,MLP,perm,20,50,0.926923405776236,0.035056079776369965,0.813119124543455,0.9668109689569435,0.015927586927408012,0.9150463010713099,0.9827652245650672,0.007696839122635911,0.961557489998226,1.0,0.0,1.0
HEART,MLP,both,20,50,0.7432404540763675,0.07143124263020781,0.542483660130719,0.8437380164008528,0.04445349910757599,0.7123282796481456,0.8775488027450682,0.05363792566228778,0.7707820346141484,0.8385964912280701,0.1670236592543222,0.6666666666666666
HEART,NB,model,20,50,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
HEART,NB,perm,20,50,0.8533883728930169,0.0558504680331545,0.7254901960784316,0.9091349024706442,0.03744452147246417,0.8082670854892766,0.9308116279971124,0.036438247146688,0.8443599720218676,0.8087719298245615,0.16528247257149917,0.6666666666666666
HEART,NB,both,20,50,0.8533883728930169,0.0558504680331545,0.7254901960784316,0.9091349024706442,0.03744452147246417,0.8082670854892766,0.9308116279971124,0.036438247146688,0.8443599720218676,0.8087719298245615,0.16528247257149917,0.6666666666666666
D130,LR,model,10,30,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
D130,LR,perm,10,30,0.8890469416785205,0.03046041888416042,0.8179231863442391,0.9376738759606359,0.01830215604382396,0.8942315294819954,0.9360926923555135,0.020935103027005304,0.8897468173178059,0.6634920634920634,0.16351377712041235,0.42857142857142855
D130,LR,both,10,30,0.8890469416785205,0.03046041888416042,0.8179231863442391,0.9376738759606359,0.01830215604382396,0.8942315294819954,0.9360926923555135,0.020935103027005304,0.8897468173178059,0.6634920634920634,0.16351377712041235,0.42857142857142855
D130,RF,model,10,30,0.44801643749012177,0.0858352620261758,0.2546230440967283,0.6237224607492569,0.08617005758272475,0.4225412493425988,0.6794610714821955,0.059198921362656656,0.564218078499589,0.4603174603174602,0.1422244285800823,0.25
D130,RF,perm,10,30,0.8709024814287971,0.030768590558291637,0.8150782361308677,0.9298649264540007,0.01901383601953409,0.8947420184809134,0.9234983971987045,0.027428099179748644,0.8817956360616461,0.6835978835978836,0.17382747803714474,0.42857142857142855
D130,RF,both,10,30,0.4268373636794689,0.08803814075001425,0.25177809388335703,0.6207319283003833,0.08824938501383231,0.378563710327556,0.69561766548378,0.066907116058133,0.5449220451173562,0.4037918871252203,0.15381354533131925,0.1111111111111111
D130,XGB,model,10,30,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
D130,XGB,perm,10,30,0.8500395131974081,0.02901685807301508,0.7894736842105264,0.9211750660474203,0.01825594377107756,0.878402668747694,0.9261544558775389,0.04119959052954525,0.8360373333464199,0.874074074074074,0.16343671571863339,0.6666666666666666
D130,XGB,both,10,30,0.8500395131974081,0.02901685807301508,0.7894736842105264,0.9211750660474203,0.01825594377107756,0.878402668747694,0.9261544558775389,0.04119959052954525,0.8360373333464199,0.874074074074074,0.16343671571863339,0.6666666666666666
D130,SVM,model,10,30,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
D130,SVM,perm,10,30,0.7732890785522366,0.0340088792345952,0.701280227596017,0.880675956907349,0.02068524825176962,0.8322880201058687,0.8765423956431954,0.033207264279902365,0.8098117835387907,0.6878306878306878,0.1941091729200461,0.42857142857142855
D130,SVM,both,10,30,0.7732890785522366,0.0340088792345952,0.701280227596017,0.880675956907349,0.02068524825176962,0.8322880201058687,0.8765423956431954,0.033207264279902365,0.8098117835387907,0.6878306878306878,0.1941091729200461,0.42857142857142855
D130,MLP,model,10,30,0.20467836257309943,0.09347011702005838,-0.02418207681365576,0.33629948555778233,0.12695084261395492,0.09328016501334528,0.45129422867872854,0.09107361452235398,0.309320928474079,0.22530864197530864,0.13100945695493116,0.1111111111111111
D130,MLP,perm,10,30,0.8006006006006006,0.02948972589235292,0.7467994310099575,0.847692943099676,0.03001107054981625,0.7801251074314419,0.7994327083379899,0.047374511117728106,0.7159762454757128,0.5518518518518518,0.16283781378871107,0.25
D130,MLP,both,10,30,0.2038564880670144,0.09243791168990544,-0.06401137980085349,0.34950537661410086,0.113957270334474,0.10878677481690774,0.45216924910662065,0.09152370427605538,0.2955687204385339,0.23853615520282187,0.13062188339073216,0.1111111111111111
D130,NB,model,10,30,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
D130,NB,perm,10,30,0.9029555871661135,0.022188474717160202,0.8634423897581793,0.936536720384336,0.02275748236287667,0.8794529225079427,0.9096309375584359,0.06992591400413949,0.7376373679330851,0.7449735449735448,0.1631210854342578,0.42857142857142855
D130,NB,both,10,30,0.9029555871661135,0.022188474717160202,0.8634423897581793,0.936536720384336,0.02275748236287667,0.8794529225079427,0.9096309375584359,0.06992591400413949,0.7376373679330851,0.7449735449735448,0.1631210854342578,0.42857142857142855
