dataset,model,repeat,slope,intercept
PIMA,RF,2,1.0012560111684092,-0.01741179142179334
PIMA,RF,3,0.8958199260753359,-0.010626920656693944
PIMA,RF,4,0.9475473373953266,0.007156704756940278
PIMA,XGB,0,0.3321103922824087,0.07561439532466264
PIMA,XGB,1,0.3487261871912428,0.056537570060157485
PIMA,XGB,2,0.35885907362937375,0.13539629515317825
PIMA,XGB,3,0.3358451908856048,0.09452012655148875
PIMA,XGB,4,0.3591363585871683,0.049449130625301714
PIMA,SVM,0,0.9926371392686137,-0.020605523627433876
PIMA,SVM,1,0.9677263854898476,-0.004246499165169646
PIMA,SVM,2,1.0394448944462797,-0.014087959955305533
PIMA,SVM,3,1.0083973984432952,-0.013357939671267957
PIMA,SVM,4,1.0260062496692623,-0.015564660915160539
PIMA,MLP,0,0.11706947236813481,0.004550565222169983
PIMA,MLP,1,0.11661113434015566,0.07710443929953573
PIMA,MLP,2,0.12013005706263977,0.09124283022775335
PIMA,MLP,3,0.11166322504024948,-0.09366668601708372
PIMA,MLP,4,0.11398173023833709,-0.03724707155974938
PIMA,NB,0,0.3799206533605244,0.031713057846083186
PIMA,NB,1,0.3904655208562133,0.031154434054583964
PIMA,NB,2,0.39619932869248253,0.02156036549613291
PIMA,NB,3,0.3912915608524598,0.04090365054763481
PIMA,NB,4,0.39456939292063425,0.03843143822945748
HEART,LR,0,0.8330708997925231,-0.021862009905906258
HEART,LR,1,0.8076568185394267,-0.02506982696144204
HEART,LR,2,0.8698808500603369,-0.014509862348395955
HEART,LR,3,0.8083609966222004,0.009668231137861793
HEART,LR,4,0.8329315653322948,-0.03550734217157543
HEART,RF,0,1.2374743075600767,0.008809300126090379
HEART,RF,1,1.2266579578678563,0.023688052392099684
HEART,RF,2,1.1911796515430908,-0.0029229071516854036
HEART,RF,3,1.2416258026058948,-0.0015688598085151497
HEART,RF,4,1.242076328195618,-0.009065102434598111
HEART,XGB,0,0.41344105123556707,0.1970755179193835
HEART,XGB,1,0.42653586090590756,0.32505983566777247
HEART,XGB,2,0.37878183314162694,0.3255730207356033
HEART,XGB,3,0.3767216884323128,0.11673267810931039
HEART,XGB,4,0.4352766549729107,0.25144760288316376
HEART,SVM,0,0.9711486074303709,-0.016729169064800205
HEART,SVM,1,0.9765074664418705,0.007229380499769419
HEART,SVM,2,0.9885728826949342,-0.013454012992251031
HEART,SVM,3,0.9306964894709978,-0.009568530947675388
HEART,SVM,4,0.9925416955009764,-0.028347174871054967
HEART,MLP,0,0.18928528746234935,0.10636819013671306
HEART,MLP,1,0.18750744700433758,-0.28903368601484136
