dataset,model,axis,level,n_units,tau_mean,tau_sd,tau_min,wtau_mean,wtau_sd,wtau_min,rbo_mean,rbo_sd,rbo_min,j5_mean,j5_sd,j5_min
PIMA,XGB,seed,feature,8,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
PIMA,XGB,seed,group,8,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
PIMA,XGB,boot,feature,8,0.754351395730706,0.1103127544404973,0.3571428571428571,0.8539110020735831,0.0705575904155848,0.5874475940178963,0.9497358030541873,0.0267425401376233,0.8693779857142857,0.7877394636015325,0.1604935857066039,0.6666666666666666
PIMA,XGB,boot,group,8,0.754351395730706,0.1103127544404973,0.3571428571428571,0.8539110020735831,0.0705575904155848,0.5874475940178963,0.9497358030541873,0.0267425401376233,0.8693779857142857,0.7877394636015325,0.1604935857066039,0.6666666666666666
HEART,LR,seed,feature,18,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
HEART,LR,seed,group,13,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
HEART,LR,boot,feature,18,0.5301930733979416,0.1133040496010919,0.1633986928104575,0.6474940351943023,0.102710217773512,0.3115131817360883,0.7449248574248573,0.0795974909295715,0.5718356140367122,0.5995894909688013,0.190169824008311,0.25
HEART,LR,boot,group,13,0.4836427939876214,0.1304408866921929,0.1025641025641025,0.5674891204209311,0.1577468794328968,0.0273908013981469,0.7614066930319772,0.0800942989040543,0.5857491850960033,0.5798303229337712,0.1770437318518577,0.25
HEART,RF,seed,feature,18,0.946660656599805,0.0226775359768257,0.8692810457516341,0.9438788084658414,0.0335175627448337,0.8318346472625807,0.9240015534613384,0.0553509675931498,0.7957841508877851,0.8490421455938696,0.1661157623597062,0.6666666666666666
HEART,RF,seed,group,13,0.9529030356616564,0.0341404988969394,0.8205128205128204,0.9608238535007,0.036506011963947,0.7860186173330321,0.9690207116683088,0.0378265788331955,0.8100822744642856,0.8490421455938696,0.1661157623597062,0.6666666666666666
HEART,RF,boot,feature,18,0.760198332206446,0.0627981483803081,0.5555555555555556,0.7730505555156122,0.0735421699591898,0.556917167047956,0.790446758792607,0.0665155183531983,0.6432092514620709,0.6684455391351944,0.1745443127286542,0.25
HEART,RF,boot,group,13,0.697966401414677,0.0983323946859244,0.3846153846153845,0.7311743402189177,0.1007130669741971,0.4212157055060546,0.825203047335696,0.0653818892981208,0.6697650799285715,0.7031472359058567,0.1856315874616409,0.25
HEART,XGB,seed,feature,18,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
HEART,XGB,seed,group,13,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
HEART,XGB,boot,feature,18,0.7299389994817519,0.0665165125654498,0.5133333333333334,0.7539283886784277,0.0766672576702242,0.4949858161214615,0.7847230971759799,0.0692883557784231,0.5875862065304718,0.5653256704980844,0.1694401900284701,0.25
HEART,XGB,boot,group,13,0.5895078101974651,0.1136347894855276,0.2564102564102563,0.6580981713685419,0.1112139286750504,0.2896910510506318,0.79606614515821,0.0675706015013889,0.6382286315742858,0.5717296113847838,0.1715090165976423,0.25
D130,LR,seed,feature,38,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
D130,LR,seed,group,20,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
