config,metric,dataset,a,b,mean_diff,t,p,P_b_better,P_rope,P_a_better,p_holm
default,AUC,HEART,LR,MLP,0.04828094699418228,2.4383234253495254,0.037467533076346,0.007938156685404821,0.03378941722226314,0.958272426092332,0.5245454630688441
default,AUC,HEART,LR,NB,0.02585245636716228,0.9547220381813679,0.3646565419353542,0.10765172561447343,0.1774008656987266,0.7149474086868,1.0
default,AUC,HEART,RF,XGB,0.032679177440206854,1.909357932897926,0.08855254708974623,0.016642738553883575,0.09083994931936246,0.892517312126754,1.0
default,AUC,HEART,RF,SVM,0.009250767614738208,0.7339609259835284,0.48165467446396426,0.07925374120411749,0.4439531021257041,0.47679315667017846,1.0
default,AUC,HEART,RF,MLP,0.04792441014867484,2.7568284984562528,0.022227153218310584,0.004230967005035331,0.023606391557508766,0.9721626414374559,0.33340729827465876
default,AUC,HEART,RF,NB,0.02549591952165483,0.8862957062123513,0.39852110487412074,0.12276957839126175,0.17761727335110422,0.699613148257634,1.0
default,AUC,HEART,XGB,SVM,-0.023428409825468642,-0.966887433675238,0.3588623478593725,0.7047505245714695,0.19611517612458929,0.09913429930394124,1.0
default,AUC,HEART,XGB,MLP,0.015245232708467981,1.086736541780803,0.3054002130514292,0.051726246257845936,0.30593526403514704,0.642338489707007,1.0
default,AUC,HEART,XGB,NB,-0.007183257918552022,-0.18109910437676563,0.8603024887999279,0.4722844583321133,0.19120922968617587,0.3365063119817108,1.0
default,AUC,HEART,SVM,MLP,0.038673642533936625,2.133472110931139,0.0616724047108532,0.012131979035443339,0.06073750817810575,0.9271305127864509,0.8017412612410917
default,AUC,HEART,SVM,NB,0.01624515190691662,0.6380720652007128,0.5393205398087441,0.16321878823147848,0.24202482662528768,0.5947563851432338,1.0
default,AUC,HEART,MLP,NB,-0.022428490627020004,-0.7256052082379268,0.48651923502314914,0.6524615519958761,0.18833835178507605,0.15920009621904788,1.0
default,AUC,D130,LR,RF,0.03962298002787525,3.702757606859331,0.004899597078176932,0.0006120079630769835,0.010295733279545694,0.9890922587573773,0.04859256745264172
default,AUC,D130,LR,XGB,0.0654266837627017,7.986511596910534,2.2435199376522437e-05,3.5424337558253857e-06,3.7539224800209325e-05,0.999958918341444,0.00033652799064783653
default,AUC,D130,LR,SVM,0.09345022836904827,4.761845506772825,0.001027014480929846,0.00025645655991169216,0.0008111772243907245,0.9989323662156976,0.012324173771158152
default,AUC,D130,LR,MLP,0.11451964014776828,7.0659892797508,5.881840577805091e-05,1.526473252563961e-05,4.387669372829528e-05,0.999940858573746,0.0008234576808927128
default,AUC,D130,LR,NB,0.03679372887664799,3.70809883144782,0.004859256745264172,0.0005476876849391128,0.011643338740584208,0.9878089735744767,0.04859256745264172
default,AUC,D130,RF,XGB,0.025803703734826454,5.056264311539598,0.0006845001388944371,3.107819122276384e-05,0.0063635674868545156,0.9936053543219228,0.008898501805627682
default,AUC,D130,RF,SVM,0.053827248341173015,3.6504680894407624,0.005313658867074914,0.0009544329713784048,0.0068676948784067715,0.9921778721502148,0.04859256745264172
default,AUC,D130,RF,MLP,0.07489666011989302,3.5560740001804465,0.006157021160692676,0.0014845391729321384,0.005071910010945979,0.9934435508161219,0.04859256745264172
default,AUC,D130,RF,NB,-0.0028292511512272634,-0.23016380832603747,0.8231107685884461,0.2869911574722647,0.55108091873592,0.16192792379181525,0.8377398655371249
default,AUC,D130,XGB,SVM,0.02802354460634656,1.6615473131039113,0.13096979485411184,0.02531652833168446,0.1312118668742389,0.8434716047940767,0.3929093845623355
default,AUC,D130,XGB,MLP,0.04909295638506657,2.486536415496216,0.03461818118044442,0.007563169464105863,0.03196403296344286,0.9604727975724513,0.1505407222272958
default,AUC,D130,XGB,NB,-0.02863295488605372,-2.571610505503228,0.03010814444545916,0.9357201939128806,0.06075397864753569,0.003525827439583669,0.1505407222272958
default,AUC,D130,SVM,MLP,0.021069411778720005,0.847146784779824,0.41886993276856244,0.12154795935230552,0.21184160056427637,0.6666104400834181,0.8377398655371249
default,AUC,D130,SVM,NB,-0.05665649949240028,-2.87921155877432,0.018201386210798712,0.9790806618761614,0.01690325761115749,0.004016080512681124,0.10920831726479227
default,AUC,D130,MLP,NB,-0.07772591127112029,-4.143110352407219,0.002509987267389898,0.9971706509779988,0.002250108009732548,0.000579241012268612,0.027609859941288877
default,MCC,BC,LR,RF,0.023234771111102413,1.0111575109399062,0.3383518415234911,0.04621781641092563,0.39932868245159125,0.5544535011374832,1.0
default,MCC,BC,LR,XGB,0.0068775736025285085,0.44681482233671543,0.6655669578852569,0.05728704695741668,0.7348116241355771,0.20790132890700616,1.0
default,MCC,BC,LR,SVM,0.017624655395475818,0.8920945391664723,0.3955672285524639,0.04455764439418965,0.5019954763539991,0.4534468792518113,1.0
