strategy,model,repeat,fold,ACC,BAL,F1,AUC,MCC,BRIER
median,LR,4,4,0.7922077922077922,0.7803703703703704,0.7142857142857143,0.8688888888888888,0.5522164981933888,0.14641584940831232
median,LR,4,5,0.7402597402597403,0.7574074074074073,0.6875,0.8629629629629629,0.49168511697452694,0.14999059785313326
median,LR,4,6,0.6363636363636364,0.6433333333333333,0.5625,0.7614814814814815,0.27378725218581573,0.20354530461803255
median,LR,4,7,0.8051948051948052,0.7903703703703704,0.7272727272727273,0.8925925925925926,0.5760658398584765,0.1344029758133138
median,LR,4,8,0.75,0.7361538461538462,0.6545454545454545,0.7884615384615385,0.4612631569755697,0.16688501545352538
median,LR,4,9,0.7631578947368421,0.7461538461538462,0.6666666666666666,0.8315384615384616,0.48418202613504197,0.16354663238093972
median,RF,0,0,0.7532467532467533,0.792962962962963,0.7246376811594203,0.8574074074074075,0.5615015143499472,0.1499090909090909
median,RF,0,1,0.7662337662337663,0.768888888888889,0.7,0.8455555555555556,0.5185449728701349,0.15639870129870131
median,RF,0,2,0.7012987012987013,0.6848148148148148,0.5964912280701754,0.7688888888888888,0.36167967605963075,0.18814935064935062
median,RF,0,3,0.8571428571428571,0.855925925925926,0.8070175438596491,0.9285185185185185,0.6965414202270644,0.10850519480519479
median,RF,0,4,0.7272727272727273,0.7474074074074074,0.676923076923077,0.8507407407407407,0.4722646907420217,0.146387012987013
median,RF,0,5,0.7662337662337663,0.7859259259259259,0.71875,0.8337037037037037,0.5461595831717048,0.15913246753246754
median,RF,0,6,0.7402597402597403,0.7403703703703703,0.6666666666666666,0.8040740740740739,0.46354777877784786,0.16877272727272724
median,RF,0,7,0.7532467532467533,0.7759259259259259,0.7076923076923077,0.8333333333333333,0.5267023871299493,0.1605753246753247
median,RF,0,8,0.631578947368421,0.6738461538461539,0.6,0.7973076923076924,0.3340915037338317,0.1782894736842105
median,RF,0,9,0.6842105263157895,0.6676923076923077,0.5714285714285714,0.7023076923076923,0.3255181959201964,0.20739736842105264
median,RF,1,0,0.6363636363636364,0.6603703703703703,0.5882352941176471,0.7637037037037037,0.3067452408404727,0.18401428571428569
median,RF,1,1,0.6883116883116883,0.6833333333333333,0.6,0.7207407407407407,0.3535533905932738,0.21181038961038962
median,RF,1,2,0.7272727272727273,0.7303703703703703,0.6557377049180327,0.8011111111111111,0.4427410738901448,0.16755584415584418
median,RF,1,3,0.7402597402597403,0.7318518518518519,0.6551724137931034,0.8388888888888888,0.4511777625672017,0.1558571428571429
median,RF,1,4,0.7402597402597403,0.7318518518518519,0.6551724137931034,0.8381481481481482,0.4511777625672017,0.1623077922077922
median,RF,1,5,0.8441558441558441,0.8629629629629629,0.8064516129032258,0.9237037037037038,0.6956655929999346,0.10971168831168833
median,RF,1,6,0.7402597402597403,0.782962962962963,0.7142857142857143,0.8644444444444445,0.5438170103731038,0.14772467532467534
median,RF,1,7,0.7272727272727273,0.7388888888888889,0.6666666666666666,0.7974074074074073,0.4569299776953924,0.17508831168831168
median,RF,1,8,0.75,0.7638461538461538,0.6885245901639344,0.8015384615384615,0.502257567553843,0.17108684210526318
median,RF,1,9,0.8289473684210527,0.833076923076923,0.7719298245614035,0.9088461538461539,0.6430712769344363,0.11797236842105265
median,RF,2,0,0.7402597402597403,0.7403703703703703,0.6666666666666666,0.8614814814814814,0.46354777877784786,0.14482467532467536
median,RF,2,1,0.7922077922077922,0.8059259259259259,0.7419354838709677,0.88,0.5863467140999449,0.1378987012987013
median,RF,2,2,0.7402597402597403,0.7574074074074073,0.6875,0.8440740740740741,0.49168511697452694,0.14962727272727272
median,RF,2,3,0.6753246753246753,0.6988888888888889,0.6268656716417911,0.7707407407407407,0.37990634218031794,0.186025974025974
median,RF,2,4,0.7662337662337663,0.7603703703703704,0.6896551724137931,0.8277777777777778,0.5066740688254677,0.15750129870129873
median,RF,2,5,0.7532467532467533,0.7759259259259259,0.7076923076923077,0.8414814814814815,0.5267023871299493,0.15654935064935066
median,RF,2,6,0.7402597402597403,0.7488888888888889,0.6774193548387096,0.8303703703703704,0.4770278351999552,0.1532103896103896
median,RF,2,7,0.7662337662337663,0.7774074074074073,0.7096774193548387,0.8807407407407407,0.53168727464995,0.13727402597402596
median,RF,2,8,0.75,0.7361538461538462,0.6545454545454545,0.7923076923076924,0.4612631569755697,0.17182894736842105
median,RF,2,9,0.75,0.7638461538461538,0.6885245901639344,0.7669230769230769,0.502257567553843,0.1857263157894737
median,RF,3,0,0.8181818181818182,0.8174074074074074,0.7586206896551724,0.8455555555555556,0.6176666813419998,0.1444181818181818
median,RF,3,1,0.7272727272727273,0.7559259259259259,0.6865671641791045,0.8251851851851851,0.4888552745746736,0.15848051948051947
median,RF,3,2,0.7402597402597403,0.7403703703703703,0.6666666666666666,0.8255555555555556,0.46354777877784786,0.1607324675324675
median,RF,3,3,0.7922077922077922,0.7974074074074073,0.7333333333333333,0.8659259259259259,0.5735421669624219,0.14185584415584415
median,RF,3,4,0.7142857142857143,0.7544444444444445,0.6857142857142857,0.8744444444444444,0.4890082279140345,0.1427285714285714
median,RF,3,5,0.7272727272727273,0.7218518518518519,0.6440677966101694,0.7548148148148148,0.4296142637737487,0.18903116883116886
median,RF,3,6,0.7012987012987013,0.7274074074074074,0.6567164179104478,0.8414814814814814,0.43438080837749576,0.1545857142857143
