metric,dataset,a,b,mean_diff,t,p,P_b_better,P_rope,P_a_better,p_holm
MCC,HEART,SVM,NB,0.033068462150929435,0.7842854801547058,0.4366477882250669,0.1046396805554797,0.2730490519100577,0.6223112675344626,1.0
MCC,HEART,MLP,NB,-0.059454287092029254,-1.2764443628321316,0.20781522358563936,0.8019847699311908,0.15253927928814198,0.045475950780667185,1.0
MCC,D130,LR,RF,0.037289842218222645,2.5345439340850526,0.014504278622403706,0.00014928592501092135,0.12265376707049347,0.8771969470044956,0.10152995035682594
MCC,D130,LR,XGB,0.0576386329512827,4.407457379439828,5.696395239434569e-05,1.464087265399156e-07,0.0029560855880549353,0.9970437680032185,0.000740531381126494
MCC,D130,LR,SVM,0.0786287572654983,5.046475173120331,6.594885994143348e-06,3.6186614843730916e-08,0.0002247032681521599,0.999775260545233,9.232840391800687e-05
MCC,D130,LR,MLP,0.08819761287152364,5.493534561085564,1.3965152460191515e-06,8.408908848988703e-09,4.806468071982817e-05,0.9999519269103713,2.0947728690287274e-05
MCC,D130,LR,NB,0.038796753823539636,3.4321239189926187,0.0012258760255755867,1.931846580235671e-06,0.05136255348683638,0.9486355146665834,0.01471051230690704
MCC,D130,RF,XGB,0.020348790733060052,1.6238160835706505,0.11083162212471509,0.0011394404831070095,0.48781467782149146,0.5110458816954015,0.5541581106235755
MCC,D130,RF,SVM,0.041338915047275666,3.0354900534748737,0.0038385197980392092,2.068061793936003e-05,0.061766002713278145,0.9382133166687825,0.03838519798039209
MCC,D130,RF,MLP,0.050907770653300995,3.269030369134011,0.0019772598937840336,1.75517042180151e-05,0.026376290223845134,0.9736061580719368,0.02174985883162437
MCC,D130,RF,NB,0.0015069116053169859,0.11053307770937455,0.9124381109114709,0.06055218575148319,0.8488661448863548,0.09058166936216197,1.0
MCC,D130,XGB,SVM,0.02099012431421561,1.4303346262504446,0.15896718315139824,0.0037124468802132477,0.4695285034493386,0.5267590496704482,0.5541581106235755
MCC,D130,XGB,MLP,0.030558979920240953,1.952351061966295,0.05662224387530952,0.0011061587640600508,0.2504467083375208,0.7484471328984191,0.33973346325185716
MCC,D130,XGB,NB,-0.018841879127743072,-1.5457344621325302,0.12860344609968874,0.4623475939359886,0.5363988375193779,0.0012535685446334007,0.5541581106235755
MCC,D130,SVM,MLP,0.009568855606025337,0.6709467402659517,0.5054050169228718,0.021711631486328355,0.7442817684714111,0.23400660004226048,1.0
MCC,D130,SVM,NB,-0.03983200344195868,-2.7492246384978594,0.008341832309231538,0.9113500373305655,0.08857947360906603,7.048906036844837e-05,0.0667346584738523
MCC,D130,MLP,NB,-0.049400859047984025,-3.019953146294194,0.004007985990782804,0.9607757229952701,0.03917538054858978,4.8896456140074484e-05,0.03838519798039209
BAL,BC,LR,RF,0.010378066378066361,1.1569912417507031,0.2528852509178732,0.013700531935390938,0.46956145789125525,0.5167380101733539,1.0
BAL,BC,LR,XGB,0.00638239538239537,0.6456415727570397,0.5215236398428295,0.051791528914317674,0.5903341135700562,0.35787435751562613,1.0
BAL,BC,LR,SVM,0.003597402597402599,0.45216745917781376,0.653143777337049,0.04674852976654814,0.7410188356025641,0.21223263463088773,1.0
BAL,BC,LR,MLP,-0.0009199134199134184,-0.17702118120015536,0.8602214503058835,0.043298449204092315,0.9363930254775197,0.020308525318388043,1.0
BAL,BC,LR,NB,0.04132611832611833,3.2964570979416505,0.0018260254517229574,7.816073925394427e-05,0.007812873623008976,0.9921089656377371,0.025564356324121403
BAL,BC,RF,XGB,-0.0039956709956709925,-0.5338052605483938,0.5958897179621665,0.21297866488556597,0.7533820219762631,0.033639313138170944,1.0
BAL,BC,RF,SVM,-0.006780663780663763,-0.7356034718893133,0.4654787322125827,0.36409084963143434,0.5986257563767045,0.037283393991861154,1.0
BAL,BC,RF,MLP,-0.011297979797979781,-1.4408857187682194,0.15597699779512664,0.5654526219720192,0.43002551715832,0.0045218608696608155,1.0
BAL,BC,RF,NB,0.03094805194805196,2.519238067089654,0.015072692349872923,0.0008135323064164591,0.046297591899883805,0.9528888757936997,0.16579961584860214
BAL,BC,XGB,SVM,-0.0027849927849927705,-0.2651478070655907,0.7920078863445323,0.24751093846514632,0.6380010655654442,0.11448799596940937,1.0
BAL,BC,XGB,MLP,-0.0073023088023087875,-0.7412807769304944,0.4620612398541177,0.39258847216158943,0.5649036091648582,0.04250791867355239,1.0
BAL,BC,XGB,NB,0.03494372294372295,2.7040288432387336,0.00939210059209256,0.0005303685134895153,0.029058355038926398,0.9704112764475841,0.11270520710511071
BAL,BC,SVM,MLP,-0.004517316017316018,-0.5893326438166224,0.5583456997416061,0.23873560782783296,0.72929857959522,0.031965812576947,1.0
BAL,BC,SVM,NB,0.03772871572871573,3.3424005494929654,0.0015969523845521664,5.064216518104062e-05,0.008715231490611597,0.9912341263442074,0.023954285768282495
BAL,BC,MLP,NB,0.04224603174603174,3.2621851916810853,0.002016812266993459,9.465576180199962e-05,0.007971414810838517,0.9919339294273595,0.026218559470914966
BAL,PIMA,LR,RF,-0.00704159544159543,-0.44173885977816624,0.6606215912929972,0.4266779127224825,0.428475125570301,0.14484696170721653,1.0
BAL,PIMA,LR,XGB,0.024061538461538468,1.2089057320004601,0.23250031199111826,0.046477590088175015,0.19487255459363273,0.7586498553181923,1.0
BAL,PIMA,LR,SVM,0.009105982905982912,0.6660612607923363,0.5084957192774503,0.08402155350796212,0.4419467187731018,0.47403172771893604,1.0
BAL,PIMA,LR,MLP,0.050739601139601145,2.2347085125991613,0.030029109117886255,0.005020013126103779,0.034271929947400026,0.9607080569264962,0.42040752765040756
BAL,PIMA,LR,NB,0.029471794871794875,1.9868020651404263,0.052550719730604704,0.0052085152972935495,0.0922280869892863,0.9025633977134201,0.597456913836592
BAL,PIMA,RF,XGB,0.031103133903133903,2.0115121452512863,0.04978807615304934,0.005245138460203282,0.08377092369327066,0.9109839378465261,0.597456913836592
BAL,PIMA,RF,SVM,0.01614757834757834,1.076328696113584,0.28705125200431275,0.04362506182953471,0.29807178074337637,0.6583031574270889,1.0
BAL,PIMA,RF,MLP,0.05778119658119658,2.627254430881292,0.011458477597343556,0.0016677109022693445,0.015565852798999025,0.9827664362987316,0.17187716396015335
BAL,PIMA,RF,NB,0.0365133903133903,2.0772276119837674,0.04304395940789125,0.005412152426003669,0.0632975069202586,0.9312903406537377,0.5595714723025862
BAL,PIMA,XGB,SVM,-0.014955555555555557,-0.7739242410091116,0.44269370772934524,0.6007788268340766,0.29818227089211763,0.1010389022738058,1.0
BAL,PIMA,XGB,MLP,0.026678062678062674,1.1578440151946239,0.2525403353989518,0.05870573919396309,0.17732790409928123,0.7639663567067557,1.0
BAL,PIMA,XGB,NB,0.005410256410256409,0.25803627702180626,0.7974596178979325,0.23265711405562414,0.3536293040203476,0.41371358192402824,1.0
BAL,PIMA,SVM,MLP,0.04163361823361823,1.838158636342363,0.07210489308625069,0.01342026232732616,0.07073051557281307,0.9158492220998607,0.7210489308625069
BAL,PIMA,SVM,NB,0.02036581196581197,1.3307079052018813,0.1894446710162059,0.026290208121897942,0.22414777343913805,0.749562018438964,1.0
BAL,PIMA,MLP,NB,-0.021267806267806267,-0.9823617216996167,0.3307474663546623,0.6976774373497983,0.22505537139714016,0.07726719125306157,1.0
BAL,HEART,LR,RF,0.009571751777634125,0.4549058928662425,0.6511860861913659,0.17585000011923668,0.33231533205067576,0.49183466783008756,1.0
BAL,HEART,LR,XGB,0.034522866839043306,1.6287201736567014,0.10978562257744677,0.01940261386697713,0.10452962314748415,0.8760677629855387,1.0
BAL,HEART,LR,SVM,0.0009583063994828867,0.04976644811087555,0.9605108142970297,0.28387546623619136,0.39754946697221305,0.31857506679159564,1.0
BAL,HEART,LR,MLP,0.04905906593406595,2.047599755195854,0.04597930707829542,0.008073076623910276,0.04481209015704657,0.9471148332190431,0.6437102990961359
BAL,HEART,LR,NB,0.01827650290885584,0.8906552096021554,0.3774666180291816,0.08496542875690462,0.25766686024631413,0.6573677109967813,1.0
BAL,HEART,RF,XGB,0.024951115061409186,1.245223141915686,0.21897188840281948,0.04205043247522126,0.18510368947866296,0.7728458780461158,1.0
BAL,HEART,RF,SVM,-0.008613445378151239,-0.47938515720499686,0.6337973649985839,0.4690703614356376,0.3808512400475982,0.15007839851676427,1.0
BAL,HEART,RF,MLP,0.03948731415643183,1.9921634898504887,0.051940325919863105,0.00745154187359526,0.062075297230587356,0.9304731608958173,0.6752242369582203
BAL,HEART,RF,NB,0.008704751131221718,0.4060444038114872,0.6864777994684963,0.19104945404691223,0.3331761371925045,0.4757744087605833,1.0
BAL,HEART,XGB,SVM,-0.03356456043956042,-1.6764796907703414,0.10001401620520443,0.8800643567189098,0.10364255162188978,0.016293091659200416,1.0
BAL,HEART,XGB,MLP,0.014536199095022637,0.7303706373033384,0.46864145762479154,0.10930969503160773,0.3000630520129002,0.5906272529554921,1.0
BAL,HEART,XGB,NB,-0.016246363930187465,-0.7034195146039971,0.48512347419509927,0.6071458377827913,0.2647290670938427,0.128125095123366,1.0
BAL,HEART,SVM,MLP,0.04810075953458306,2.7446794905732226,0.008442335078975434,0.0007780464307862264,0.015587205111070812,0.9836347484581429,0.12663502618463152
BAL,HEART,SVM,NB,0.017318196509372955,0.8205307656036098,0.41588757237029955,0.09842668663888725,0.26530826453089795,0.6362650488302148,1.0
BAL,HEART,MLP,NB,-0.0307825630252101,-1.3460689430554669,0.18447507843339184,0.8186087146744223,0.14259724608825966,0.03879403923731802,1.0
BAL,D130,LR,RF,0.03005103564935333,2.3582290958963217,0.02239697771078512,0.0014188554068771324,0.059601814505797046,0.9389793300873258,0.13438186626471071
BAL,D130,LR,XGB,0.05310944606837503,4.975741364367333,8.406939599385161e-06,1.594966493004233e-07,9.415031404724772e-05,0.9999056901893034,0.0001092902147920071
BAL,D130,LR,SVM,0.06725188056912672,5.076194925499775,5.953837154339793e-06,2.1290221769436466e-07,3.758755966665195e-05,0.9999621995381156,8.33537201607571e-05
BAL,D130,LR,MLP,0.08256989943979176,7.267247654492817,2.5598292875370418e-09,5.6909520680686436e-11,2.9476225571478665e-08,0.999999970466865,3.839743931305563e-08
BAL,D130,LR,NB,0.03677462135732465,3.9279914363908963,0.0002681846939122354,3.919916564206656e-06,0.0031016233982926744,0.9968944566851431,0.0026818469391223536
BAL,D130,RF,XGB,0.023058410419021697,2.185763105922205,0.033641226781902955,0.0014566816756943878,0.1093805131804163,0.8891628051438893,0.16820613390951478
BAL,D130,RF,SVM,0.037200844919773386,3.181951852347102,0.0025397549847488857,9.47809939213404e-05,0.011987475320074048,0.9879177436860046,0.02285779486273997
BAL,D130,RF,MLP,0.05251886379043845,4.485796866005848,4.395136590063517e-05,1.1940562311352488e-06,0.0003351315691263457,0.9996636743746425,0.000527416390807622
BAL,D130,RF,NB,0.006723585707971319,0.5939002101354172,0.5553109008019035,0.07300924592754887,0.5402458534964795,0.38674490057597166,0.5553109008019035
BAL,D130,XGB,SVM,0.014142434500751694,1.1717611014152307,0.24695909694996135,0.025512623726699137,0.3409385778387325,0.6335487984345683,0.4939181938999227
BAL,D130,XGB,MLP,0.029460453371416753,2.755149979894722,0.0082124668514963,0.0002810533223518021,0.03715810204088843,0.9625608446367597,0.0656997348119704
BAL,D130,XGB,NB,-0.016334824711050376,-1.6678200375729977,0.10173076158359998,0.7396097432323905,0.25550451817223563,0.004885738595373895,0.4069230463343999
BAL,D130,SVM,MLP,0.015318018870665062,1.433646777024577,0.15802373936441463,0.01089596078622933,0.2995561987873363,0.6895478404264344,0.47407121809324393
BAL,D130,SVM,NB,-0.03047725921180207,-2.5725451680521982,0.013176295577438995,0.9548982523134959,0.04446001558431779,0.0006417321021863157,0.09223406904207297
BAL,D130,MLP,NB,-0.045795278082467125,-4.006613687059758,0.00020903598297614692,0.998535167533887,0.0014590321995045247,5.8002666084282185e-06,0.002299395812737616
