dataset,model,fold,config,n_train,n_test,best_params,ACC,BAL,F1,AUC,MCC,BRIER
HEART,SVM,5,tuned,273,30,"{'clf__C': 0.1, 'clf__gamma': 0.01}",0.7666666666666667,0.7544642857142857,0.6956521739130435,0.8794642857142857,0.554051251343814,0.15124729659470296
HEART,SVM,6,default,273,30,,0.9333333333333333,0.9285714285714286,0.9230769230769231,0.9508928571428572,0.8728715609439694,0.10023254650281949
HEART,SVM,6,tuned,273,30,"{'clf__C': 0.1, 'clf__gamma': 0.01}",0.9666666666666667,0.96875,0.9655172413793104,0.9910714285714286,0.9354143466934853,0.04784389314037827
HEART,SVM,7,default,273,30,,0.9,0.9017857142857143,0.896551724137931,0.9598214285714286,0.8017837257372731,0.0850841833917037
HEART,SVM,7,tuned,273,30,"{'clf__C': 0.1, 'clf__gamma': 0.01}",0.8333333333333334,0.8392857142857143,0.8387096774193549,0.9285714285714286,0.6831615920317885,0.10679875355406358
HEART,SVM,8,default,273,30,,0.7333333333333333,0.7366071428571428,0.7333333333333333,0.8080357142857142,0.4732142857142857,0.19635766479290576
HEART,SVM,8,tuned,273,30,"{'clf__C': 1, 'clf__gamma': 0.01}",0.7666666666666667,0.7678571428571428,0.7586206896551724,0.8125,0.5345224838248488,0.18518854511215466
HEART,SVM,9,default,273,30,,0.8333333333333334,0.8348214285714286,0.8275862068965517,0.8883928571428571,0.6681531047810609,0.12970289233748317
HEART,SVM,9,tuned,273,30,"{'clf__C': 0.1, 'clf__gamma': 0.01}",0.8333333333333334,0.8348214285714286,0.8275862068965517,0.9196428571428572,0.6681531047810609,0.11696373454422251
HEART,MLP,0,default,272,31,,0.8064516129032258,0.8109243697478992,0.8,0.9117647058823529,0.619252282479235,0.14857730715533854
HEART,MLP,0,tuned,272,31,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (32,)}",0.8709677419354839,0.8697478991596639,0.8571428571428571,0.9579831932773109,0.7394957983193278,0.08015259701597786
HEART,MLP,1,default,272,31,,0.7741935483870968,0.7815126050420168,0.7741935483870968,0.8487394957983193,0.5630252100840336,0.21028514406091775
HEART,MLP,1,tuned,272,31,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (32,)}",0.6774193548387096,0.6869747899159664,0.6875,0.8907563025210083,0.3771321868341834,0.15564012817063844
HEART,MLP,2,default,272,31,,0.8064516129032258,0.8109243697478992,0.8,0.8193277310924371,0.619252282479235,0.16431309831879495
HEART,MLP,2,tuned,272,31,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (64, 32)}",0.8387096774193549,0.8403361344537814,0.8275862068965517,0.8403361344537815,0.6778302010921357,0.1616953859190621
HEART,MLP,3,default,273,30,,0.7666666666666667,0.7579185520361991,0.72,0.8280542986425339,0.5217732845620352,0.21314529192207013
HEART,MLP,3,tuned,273,30,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (32,)}",0.8,0.7873303167420814,0.75,0.8687782805429864,0.5909278263416963,0.1575697832027559
HEART,MLP,4,default,273,30,,0.8666666666666667,0.8660714285714286,0.8571428571428571,0.8928571428571428,0.7321428571428571,0.13416778437332558
HEART,MLP,4,tuned,273,30,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (32,)}",0.8666666666666667,0.8660714285714286,0.8571428571428571,0.9151785714285714,0.7321428571428571,0.12274687280601401
HEART,MLP,5,default,273,30,,0.8333333333333334,0.8214285714285714,0.782608695652174,0.8705357142857143,0.6998542122237652,0.16123349090770947
HEART,MLP,5,tuned,273,30,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (32,)}",0.8333333333333334,0.8214285714285714,0.782608695652174,0.8794642857142857,0.6998542122237652,0.1279054339771082
HEART,MLP,6,default,273,30,,0.7333333333333333,0.7232142857142857,0.6666666666666666,0.8258928571428572,0.472455591261534,0.23405308581963197
HEART,MLP,6,tuned,273,30,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (16,)}",0.8333333333333334,0.8258928571428572,0.8,0.9196428571428571,0.6747699033149638,0.11922174643416587
HEART,MLP,7,default,273,30,,0.8666666666666667,0.8660714285714286,0.8571428571428571,0.9196428571428571,0.7321428571428571,0.12885864044163947
HEART,MLP,7,tuned,273,30,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (16,)}",0.9,0.9017857142857143,0.896551724137931,0.9285714285714286,0.8017837257372731,0.09130496965218131
HEART,MLP,8,default,273,30,,0.7,0.7053571428571428,0.7096774193548387,0.7946428571428572,0.41349254254555623,0.25220739293515326
HEART,MLP,8,tuned,273,30,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (16,)}",0.6666666666666666,0.6696428571428572,0.6666666666666666,0.7767857142857143,0.3392857142857143,0.19733839485979013
HEART,MLP,9,default,273,30,,0.7666666666666667,0.7633928571428572,0.7407407407407407,0.8571428571428572,0.5303491306562569,0.20634657827759248
HEART,MLP,9,tuned,273,30,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (64, 32)}",0.8,0.7991071428571428,0.7857142857142857,0.8571428571428572,0.5982142857142857,0.17497457356242516
HEART,NB,0,default,272,31,,0.9354838709677419,0.9348739495798319,0.9285714285714286,0.9873949579831932,0.8697478991596639,0.051052852078174595
HEART,NB,0,tuned,272,31,{'clf__var_smoothing': 1e-05},0.9354838709677419,0.9348739495798319,0.9285714285714286,0.9873949579831932,0.8697478991596639,0.049355642129139426
HEART,NB,1,default,272,31,,0.8387096774193549,0.8340336134453781,0.8148148148148148,0.8487394957983193,0.6737530079397209,0.15849218787207836
HEART,NB,1,tuned,272,31,{'clf__var_smoothing': 1e-05},0.7419354838709677,0.7521008403361344,0.75,0.8949579831932774,0.5084928361809214,0.19623836276819062
HEART,NB,2,default,272,31,,0.8387096774193549,0.8403361344537814,0.8275862068965517,0.8781512605042017,0.6778302010921357,0.17138173735012402
HEART,NB,2,tuned,272,31,{'clf__var_smoothing': 1e-05},0.7741935483870968,0.7815126050420168,0.7741935483870968,0.8697478991596639,0.5630252100840336,0.1760187438725092
HEART,NB,3,default,273,30,,0.8,0.7963800904977376,0.7692307692307693,0.8687782805429864,0.5927601809954751,0.17173884217575042
HEART,NB,3,tuned,273,30,{'clf__var_smoothing': 1e-05},0.8,0.7963800904977376,0.7692307692307693,0.8959276018099547,0.5927601809954751,0.16230609421863176
HEART,NB,4,default,273,30,,0.8333333333333334,0.8258928571428572,0.8,0.9151785714285714,0.6747699033149638,0.14070399074832762
HEART,NB,4,tuned,273,30,{'clf__var_smoothing': 1e-05},0.8333333333333334,0.8258928571428572,0.8,0.9464285714285714,0.6747699033149638,0.12242697671853785
HEART,NB,5,default,273,30,,0.7333333333333333,0.7232142857142857,0.6666666666666666,0.8035714285714285,0.472455591261534,0.2433372632263878
HEART,NB,5,tuned,273,30,{'clf__var_smoothing': 1e-05},0.7333333333333333,0.7232142857142857,0.6666666666666666,0.8214285714285714,0.472455591261534,0.22809772827133729
HEART,NB,6,default,273,30,,0.9,0.8973214285714286,0.8888888888888888,0.9732142857142857,0.8000181801424892,0.07626156682580548
HEART,NB,6,tuned,273,30,{'clf__var_smoothing': 1e-05},0.9,0.8973214285714286,0.8888888888888888,0.9821428571428571,0.8000181801424892,0.038266810895528566
HEART,NB,7,default,273,30,,0.8,0.7946428571428572,0.7692307692307693,0.8705357142857143,0.600099198148979,0.17500225969586003
HEART,NB,7,tuned,273,30,{'clf__var_smoothing': 1e-05},0.8666666666666667,0.8660714285714286,0.8571428571428571,0.8928571428571428,0.7321428571428571,0.1540937702278347
HEART,NB,8,default,273,30,,0.7333333333333333,0.7366071428571428,0.7333333333333333,0.7410714285714286,0.4732142857142857,0.23937055771781
HEART,NB,8,tuned,273,30,{'clf__var_smoothing': 1e-05},0.7333333333333333,0.7366071428571428,0.7333333333333333,0.7857142857142857,0.4732142857142857,0.22068179096962454
HEART,NB,9,default,273,30,,0.9,0.8973214285714286,0.8888888888888888,0.90625,0.8000181801424892,0.11197150595714514
